name,location,cuisines,rate,votes,approx_cost_for_two,online_order,book_table,rest_type,listed_in_type
Dadi's Dum Biryani,BTM,"Biryani, North Indian, Mughlai",4.1,2732,800,Yes,Yes,Casual Dining,Dine-out
Cafe Terra,Koramangala 1st Block,"Cafe, Continental",4.1,779,700,Yes,No,Cafe,Dine-out
KKR Foodies,BTM,"Fast Food, North Indian",3.7,42,400,Yes,No,Quick Bites,Dine-out
Savoury Restaurant,BTM,"Arabian, North Indian, Chinese, Fast Food",3.9,421,800,Yes,No,Casual Dining,Dine-out
Pecos Hideout,BTM,Finger Food,4.0,171,1100,No,Yes,Bar,Dine-out
Sharma's Malai & Masala,Koramangala 1st Block,North Indian,4.0,457,650,Yes,No,Casual Dining,Dine-out
Punjabi Nawabi,Koramangala 1st Block,North Indian,4.0,112,500,Yes,No,Casual Dining,Dine-out
Grillopia,BTM,"Italian, American, Fast Food, Wraps, Rolls, Salad",3.9,99,1000,Yes,No,Quick Bites,Dine-out
Alankrutha,BTM,"North Indian, Chinese",3.8,262,550,Yes,No,Casual Dining,Dine-out
Chicken County Grand,Bannerghatta Road,"North Indian, Chinese",3.9,328,650,Yes,No,Casual Dining,Dine-out
Birinz,BTM,"Biryani, Chinese, Mughlai, Fast Food, Kebab",4.1,300,700,Yes,No,Casual Dining,Dine-out
Pingara,Koramangala 1st Block,"North Indian, Chinese, Mangalorean",3.8,94,600,Yes,No,Casual Dining,Dine-out
Ramji Chaiwale,Koramangala 1st Block,"Beverages, Fast Food",3.8,94,250,Yes,No,Quick Bites,Dine-out
Lounge 189,HSR,"Continental, Italian",3.8,158,1300,No,No,"Lounge, Bar",Dine-out
Habibi Falafel,Koramangala 1st Block,"Lebanese, Middle Eastern",4.3,221,300,Yes,No,Quick Bites,Dine-out
Curry Leaves,Jayanagar,"Andhra, North Indian, Chinese",3.8,232,600,Yes,No,Casual Dining,Dine-out
Hakka Chinese Restaurant,Koramangala 1st Block,"Chinese, Thai",3.9,332,600,Yes,No,Casual Dining,Dine-out
ThrowBack - Pub & Dine,Langford Town,"Italian, North Indian, Continental",3.9,234,1000,No,No,"Bar, Casual Dining",Dine-out
Gyani Da Punjabi Dhaba,BTM,"North Indian, Chinese",3.9,1190,500,Yes,No,Quick Bites,Dine-out
El Salver,BTM,"North Indian, Chinese, South Indian",3.9,74,900,Yes,Yes,Casual Dining,Dine-out
C. K. Mega Hot Food,BTM,"Chinese, Momos",4.0,103,600,Yes,No,Casual Dining,Dine-out
New Friends,BTM,"North Indian, Continental, Chinese, Steak",3.8,273,900,Yes,No,Casual Dining,Dine-out
Hyderabad Bawarchi,Jayanagar,"North Indian, Biryani, Chinese",3.9,118,800,No,No,Casual Dining,Dine-out
Muthashy's,BTM,"Kerala, South Indian, Chinese",4.2,472,400,Yes,No,Quick Bites,Dine-out
Kannur Food Point,BTM,"Kerala, Chinese",4.0,141,200,No,No,Quick Bites,Dine-out
Royal Paris,BTM,"North Indian, Arabian, Chinese",3.8,73,1000,Yes,No,Casual Dining,Dine-out
Ambur Star Briyani,BTM,"Biryani, Chettinad, Chinese",3.6,386,400,Yes,No,Quick Bites,Dine-out
Mecaf Family Restaurant,BTM,"North Indian, Chinese, Fast Food, Rolls, Beverages",3.9,215,600,Yes,No,Casual Dining,Dine-out
City Durbar,Jayanagar,"North Indian, Chinese, Biryani",3.7,72,450,Yes,No,Casual Dining,Dine-out
Hyderabadi Biryani Hub,BTM,"Biryani, North Indian, Chinese",3.6,221,600,Yes,No,Casual Dining,Dine-out
Tandoor Garden,BTM,"North Indian, Chinese, Kebab",3.6,71,350,Yes,No,Quick Bites,Dine-out
Mars Chicken Delight,Koramangala 1st Block,"North Indian, Chinese, Biryani, Beverages",3.7,107,500,No,No,Casual Dining,Dine-out
Head's Or Tail's,Wilson Garden,"Finger Food, North Indian, Chinese",4.0,137,1000,No,Yes,Bar,Dine-out
The Wok Shop,Koramangala 1st Block,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",4.1,271,500,Yes,No,Quick Bites,Dine-out
Sri Vishnu Park,BTM,"South Indian, North Indian, Chinese",3.8,102,350,Yes,No,Casual Dining,Dine-out
Pani Kum Chai,Jayanagar,Fast Food,3.9,67,200,Yes,No,Quick Bites,Dine-out
Ashirvaad Grand,BTM,"Chinese, North Indian, South Indian",4.0,115,400,Yes,No,Quick Bites,Dine-out
New Tasty Cafeteria,BTM,"North Indian, Kerala",3.8,377,500,Yes,No,Quick Bites,Dine-out
Punjabi Chulha,Koramangala 1st Block,North Indian,3.8,38,500,Yes,No,Casual Dining,Dine-out
Tree Top,Wilson Garden,"Continental, Chinese, North Indian, South Indian",3.8,75,1000,Yes,No,Casual Dining,Dine-out
Cafe Arabica,Bannerghatta Road,"Cafe, Bakery, Arabian, Fast Food",3.8,69,700,No,No,"Cafe, Bakery",Dine-out
Under The Hood,Koramangala 1st Block,"Salad, Healthy Food, Street Food",4.0,76,300,Yes,No,Quick Bites,Dine-out
Anda Ka Funda,BTM,"North Indian, Chinese, Rolls",3.2,64,250,Yes,No,Quick Bites,Dine-out
Kabab Magic,BTM,"North Indian, Kebab, Fast Food",3.8,885,500,Yes,No,Quick Bites,Dine-out
Swad Punjab Da,BTM,North Indian,4.1,134,150,Yes,No,Quick Bites,Dine-out
Abhiruchi Hotel,BTM,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",3.5,743,600,Yes,No,Casual Dining,Dine-out
Zam Zam Darbar,BTM,"North Indian, Biryani, Chinese",2.9,84,500,No,No,Casual Dining,Dine-out
Indus Family Restaurant,BTM,"North Indian, Biryani, Chinese",3.8,117,600,Yes,No,Casual Dining,Dine-out
Lucknowiz,Koramangala 1st Block,"Lucknowi, Chinese",3.5,323,500,Yes,No,Quick Bites,Dine-out
Just Shawarma,BTM,Arabian,3.9,201,300,Yes,No,Quick Bites,Dine-out
Bakers Town,BTM,"Cafe, Continental, Fast Food",3.6,42,600,Yes,No,Cafe,Dine-out
Chaatimes,BTM,"Street Food, Fast Food",3.4,47,200,Yes,No,Quick Bites,Dine-out
Sagar Fast Food,BTM,"South Indian, Chinese, North Indian",3.7,67,300,Yes,No,Quick Bites,Dine-out
Cravy Wings,Bannerghatta Road,"American, Burger, Fast Food",4.2,289,400,Yes,No,Quick Bites,Dine-out
Hungry Lee,BTM,"Chinese, Thai, Asian",4.1,357,500,No,No,Quick Bites,Dine-out
Kairali,BTM,"South Indian, Seafood, Biryani",3.9,172,300,Yes,No,Quick Bites,Dine-out
BTM Ghar ka Khana,BTM,North Indian,3.7,127,200,No,No,Quick Bites,Dine-out
Indori Chatorey,BTM,"North Indian, Street Food",2.8,137,300,Yes,No,Quick Bites,Dine-out
The Biriyani Pedia,BTM,"Biryani, North Indian",4.0,59,300,Yes,No,Quick Bites,Dine-out
Royal Biryani Kitchen,BTM,"Biryani, North Indian, Kebab",4.0,197,600,Yes,No,Quick Bites,Dine-out
Tasty Magic,BTM,"Chinese, North Indian",2.7,74,600,Yes,No,Casual Dining,Dine-out
Bawarchi Inn,BTM,"North Indian, Biryani, Andhra, Chinese",3.1,140,600,Yes,No,Casual Dining,Dine-out
3 Spice,Wilson Garden,"North Indian, Chinese",3.9,156,450,Yes,No,Casual Dining,Dine-out
Vijayalakshmi Veg,Jayanagar,South Indian,3.9,100,200,Yes,No,Quick Bites,Dine-out
Kapoor's Biriyani,BTM,"Biryani, North Indian",3.3,334,400,Yes,No,Quick Bites,Dine-out
Eat N Drink,BTM,"Fast Food, Beverages",3.8,87,250,No,No,Quick Bites,Dine-out
Aroma Fine Dine,HSR,"North Indian, Mughlai, Chinese, South Indian",4.0,126,900,Yes,Yes,Casual Dining,Dine-out
Desi Vibes,BTM,"North Indian, Chinese",3.7,46,600,Yes,No,Casual Dining,Dine-out
New Royal Treat,Bannerghatta Road,"North Indian, Chinese",2.8,102,350,Yes,No,Quick Bites,Dine-out
Fillers,BTM,"North Indian, Fast Food",3.9,140,300,Yes,No,Quick Bites,Dine-out
Tiwari's,Bannerghatta Road,"North Indian, Street Food",3.9,75,200,Yes,No,Quick Bites,Dine-out
Ghar Ka Khana,Koramangala 1st Block,North Indian,3.7,95,150,Yes,No,Quick Bites,Dine-out
Kataria's Home Food,BTM,"North Indian, Chinese",3.1,40,250,Yes,No,Quick Bites,Dine-out
Melt,BTM,"Continental, Steak, Fast Food",4.0,115,1000,No,No,Casual Dining,Dine-out
Little Kitchen,Koramangala 1st Block,"Salad, Biryani, Chinese, North Indian, Kerala, Desserts, Seafood, South Indian",3.6,82,400,Yes,No,Quick Bites,Dine-out
Habitts,BTM,"Fast Food, Burger, Italian, Beverages",3.7,62,350,Yes,No,Quick Bites,Dine-out
Dash In,BTM,"North Indian, Chinese, Kerala",3.1,53,600,No,No,Casual Dining,Dine-out
Loca Moca,Koramangala 1st Block,"Cafe, Continental",3.7,46,600,No,No,Cafe,Dine-out
De Street Cafe,BTM,Cafe,3.6,61,500,No,No,Cafe,Dine-out
Chef Master,Jayanagar,"Kerala, North Indian, Chinese",3.8,76,300,Yes,No,Quick Bites,Dine-out
Magix's Parattha Roll,BTM,"Fast Food, North Indian, Chinese, Mughlai, Rolls",3.8,186,400,Yes,No,Quick Bites,Dine-out
Bharathi Refreshments,Wilson Garden,South Indian,3.7,50,150,No,No,Quick Bites,Dine-out
Sri Vishnupriya,BTM,"South Indian, North Indian, Chinese",3.0,67,300,No,No,Quick Bites,Dine-out
Punjabi Daawat,BTM,North Indian,2.4,221,550,No,No,Quick Bites,Dine-out
Pout,BTM,Beverages,4.0,40,400,No,No,Beverage Shop,Dine-out
Udupi Upahara,Koramangala 1st Block,"South Indian, North Indian",3.6,47,300,No,No,Quick Bites,Dine-out
Panchami Garden,Bannerghatta Road,"South Indian, North Indian",3.5,56,400,No,No,Quick Bites,Dine-out
Food Junction,BTM,"North Indian, Chinese, Street Food, Biryani",3.5,43,400,No,No,Quick Bites,Dine-out
New Farm Fresh,BTM,"Italian, Pizza",3.6,34,650,No,No,Quick Bites,Dine-out
Bamboo Heights,BTM,"Chinese, Fast Food, Continental",3.7,113,500,No,No,Casual Dining,Dine-out
Chettayees,BTM,"Kerala, North Indian, Chinese",3.4,155,400,Yes,No,Quick Bites,Dine-out
Dum Biryani Hub,BTM,Biryani,3.9,68,700,Yes,No,Quick Bites,Dine-out
New Punjabi Hotel,BTM,"North Indian, Chinese",3.7,181,400,Yes,No,Quick Bites,Dine-out
Dreams Cafe - All Day English Food St.,Koramangala 1st Block,"Cafe, Continental, Burger",3.8,230,600,Yes,No,Cafe,Dine-out
The 90s Hash House,BTM,Cafe,3.8,63,500,No,No,Cafe,Dine-out
Hotel Feast Ambur Biriyani,Koramangala 1st Block,"Biryani, Kebab",3.4,257,250,Yes,No,Quick Bites,Dine-out
Odissi Restaurant,BTM,Oriya,2.9,67,200,Yes,No,Casual Dining,Dine-out
Krishna Sagar,BTM,"South Indian, North Indian, Chinese",3.9,52,300,Yes,No,Quick Bites,Dine-out
Gilly's Restobar,Koramangala 5th Block,"Finger Food, Continental, North Indian",4.5,3919,1000,No,Yes,"Pub, Casual Dining",Drinks & nightlife
XOOX Brewmill,Koramangala 5th Block,"Modern Indian, European, Asian",4.4,1592,2000,No,Yes,"Microbrewery, Casual Dining",Drinks & nightlife
Biergarten,Koramangala 5th Block,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",4.8,516,2100,No,Yes,"Pub, Microbrewery",Drinks & nightlife
Koramangala Social,Koramangala 7th Block,"American, North Indian, Chinese, Finger Food",4.6,4714,1500,Yes,No,Lounge,Drinks & nightlife
Bombay Adda,Koramangala 7th Block,Modern Indian,4.4,2391,1100,No,Yes,"Casual Dining, Bar",Drinks & nightlife
Fenny's Lounge And Kitchen,Koramangala 7th Block,"Mediterranean, Pizza, Continental, Seafood, Salad",4.5,6385,1600,No,Yes,"Bar, Casual Dining",Drinks & nightlife
Harry's Bar + Cafe,Koramangala 7th Block,"Asian, American, Mexican",4.2,1372,1400,Yes,Yes,"Casual Dining, Bar",Drinks & nightlife
The Bier Library,Koramangala 6th Block,"Continental, North Indian, Pizza, BBQ",4.3,582,2000,Yes,Yes,"Microbrewery, Casual Dining",Drinks & nightlife
Prost Brew Pub,Koramangala 4th Block,"American, Continental, North Indian, Salad",4.5,7870,1800,No,Yes,"Pub, Microbrewery",Drinks & nightlife
The Fixx,Koramangala 4th Block,"Continental, South Indian, Italian, North Indian, Chinese",4.3,224,1200,No,Yes,"Casual Dining, Bar",Drinks & nightlife
Brooks and Bonds Brewery,Koramangala 5th Block,"Continental, Mediterranean, North Indian, Chinese, Finger Food",4.5,3996,1600,Yes,Yes,"Casual Dining, Microbrewery",Drinks & nightlife
House Of Commons,Koramangala 5th Block,"Continental, Asian, North Indian",4.7,4464,1000,No,Yes,Bar,Drinks & nightlife
Foxtrot - House of Subculture,Koramangala 3rd Block,"Cafe, American, Asian, North Indian",4.4,377,1000,No,Yes,"Cafe, Lounge",Drinks & nightlife
Drava,Koramangala 5th Block,"Pizza, Continental, North Indian, Asian",4.4,118,1500,No,Yes,Lounge,Drinks & nightlife
The Terrace at Gilly's Redefined,Koramangala 4th Block,"Continental, Finger Food, Asian, North Indian",4.5,911,1400,No,Yes,"Microbrewery, Casual Dining",Drinks & nightlife
The Boozy Griffin,Koramangala 5th Block,"European, Continental",4.6,5017,1800,No,Yes,"Casual Dining, Pub",Drinks & nightlife
Simon Says Brew Works,Koramangala 5th Block,"Continental, American, Italian, Modern Indian, Pizza, Burger",4.5,2014,1400,No,Yes,"Microbrewery, Casual Dining",Drinks & nightlife
Myu Bar at Gilly's Redefined,Koramangala 4th Block,"American, North Indian, Pizza, Finger Food, Continental, Italian",4.5,1250,1200,No,Yes,"Microbrewery, Bar",Drinks & nightlife
The Old Fashioned Bar,Koramangala 6th Block,"Finger Food, North Indian, Continental",4.5,580,1000,No,Yes,Bar,Drinks & nightlife
Sotally Tober,Koramangala 4th Block,"Asian, Burger, Pizza, Chinese, Finger Food",4.4,4096,1200,No,Yes,"Bar, Casual Dining",Drinks & nightlife
Happy Brew,Koramangala 5th Block,"Continental, American, Chinese, BBQ, Salad",4.0,2164,1000,No,Yes,Lounge,Drinks & nightlife
1522 - The Pub,Koramangala 4th Block,"Chinese, Continental, North Indian",4.2,1746,1400,No,Yes,Pub,Drinks & nightlife
Crawl Street,Koramangala 5th Block,"Continental, Finger Food, North Indian, Chinese",4.3,2584,1200,Yes,Yes,Bar,Drinks & nightlife
The Beer Cafe,Koramangala 4th Block,"Finger Food, Chinese, Italian, Burger",4.2,1181,1300,Yes,Yes,Pub,Drinks & nightlife
Cheers Pub Bar & Restro,Koramangala 4th Block,"Continental, Finger Food, Pizza, North Indian, Bar Food",4.1,94,1100,No,Yes,"Pub, Bar",Drinks & nightlife
Barleyz,Koramangala 6th Block,"North Indian, Continental, Chinese",3.8,4660,2000,No,No,"Lounge, Microbrewery",Drinks & nightlife
What's In A Name,Koramangala 5th Block,"Finger Food, Asian, European, Italian",4.1,1798,1200,Yes,Yes,Pub,Drinks & nightlife
Sathya's,Koramangala 3rd Block,"North Indian, Chinese",4.1,759,1200,No,Yes,Bar,Drinks & nightlife
The Local - Terrace Drinkery,Koramangala 6th Block,"Continental, American, Pizza, BBQ",4.0,1408,1000,No,No,"Pub, Casual Dining",Drinks & nightlife
Tilt Gastro Lounge,Koramangala 5th Block,"Continental, American, North Indian, Chinese",4.1,1244,1500,No,Yes,"Lounge, Casual Dining",Drinks & nightlife
Bulls N Bears - Bar Trade Xchange,Koramangala 5th Block,"Finger Food, North Indian, Continental, Pizza",3.8,155,1000,No,Yes,"Pub, Bar",Drinks & nightlife
Drunkling - Sizzlers and Pub,Koramangala 5th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",4.4,348,1000,Yes,Yes,"Casual Dining, Bar",Drinks & nightlife
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,"Finger Food, North Indian, Chinese",3.9,599,1200,Yes,Yes,Bar,Drinks & nightlife
Cilantro,Koramangala 4th Block,"European, American, Continental, North Indian, Steak",4.0,281,1500,Yes,Yes,"Casual Dining, Bar",Drinks & nightlife
Sherlock's Pub,Koramangala 5th Block,"Continental, North Indian, Chinese",3.9,599,1300,No,Yes,"Pub, Casual Dining",Drinks & nightlife
Gorilla Barfare,Koramangala 6th Block,"Continental, Pizza, Burger",4.2,272,1400,No,No,"Pub, Casual Dining",Drinks & nightlife
Over The Top Terrace Lounge,Koramangala 5th Block,"Continental, North Indian",3.9,1390,1400,No,Yes,Lounge,Drinks & nightlife
Fandom at Gilly's Redefined,Koramangala 4th Block,Finger Food,3.8,109,1500,No,No,Bar,Drinks & nightlife
Jimi's Beer Cafe,Koramangala 6th Block,"American, North Indian, Chinese",3.8,674,1700,No,No,Pub,Drinks & nightlife
Barcode,Koramangala 4th Block,"South Indian, North Indian",3.8,170,1300,No,Yes,Bar,Drinks & nightlife
The Local - Burger Bar,Koramangala 6th Block,"American, Pizza, Burger",3.8,152,1500,No,No,"Pub, Casual Dining",Drinks & nightlife
Banana Beach Bar,Koramangala 6th Block,"Continental, Chinese",3.7,1015,1300,Yes,Yes,Bar,Drinks & nightlife
Black Pepper Lounge - Case de Bengaluru,Koramangala 6th Block,Finger Food,3.7,81,1200,No,Yes,Lounge,Drinks & nightlife
"3B's - Buddies, Bar & Barbecues",BTM,"North Indian, Mediterranean, European, BBQ",4.4,1178,1100,No,Yes,"Casual Dining, Bar",Drinks & nightlife
B-hive,Koramangala 1st Block,"Finger Food, North Indian",4.3,1559,1200,No,Yes,Pub,Drinks & nightlife
Pecos Hideout,BTM,Finger Food,4.0,171,1100,No,Yes,Bar,Drinks & nightlife
ThrowBack - Pub & Dine,Langford Town,"Italian, North Indian, Continental",3.9,234,1000,No,No,"Bar, Casual Dining",Drinks & nightlife
Head's Or Tail's,Wilson Garden,"Finger Food, North Indian, Chinese",4.0,137,1000,No,Yes,Bar,Drinks & nightlife
Fenny's Lounge And Kitchen,Koramangala 7th Block,"Mediterranean, Pizza, Continental, Seafood, Salad",4.5,6384,1600,No,Yes,"Bar, Casual Dining",Pubs and bars
Bombay Adda,Koramangala 7th Block,Modern Indian,4.4,2400,1100,No,Yes,"Casual Dining, Bar",Pubs and bars
Gilly's Restobar,Koramangala 5th Block,"Finger Food, Continental, North Indian",4.5,3923,1000,No,Yes,"Pub, Casual Dining",Pubs and bars
Punjab Bistro,Koramangala 7th Block,North Indian,4.4,461,1500,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Harry's Bar + Cafe,Koramangala 7th Block,"Asian, American, Mexican",4.2,1372,1400,Yes,Yes,"Casual Dining, Bar",Pubs and bars
JukeBox,Koramangala 7th Block,"Continental, Parsi, Chinese, North Indian, Italian, Steak",3.9,283,1000,No,Yes,"Casual Dining, Bar",Pubs and bars
The Black Pearl,Koramangala 5th Block,"North Indian, European, Mediterranean",4.7,10550,1400,No,Yes,"Casual Dining, Bar",Pubs and bars
Buff Buffet Buff,Koramangala 5th Block,"North Indian, Chinese, Continental, Thai, Salad",4.5,3177,1500,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Biergarten,Koramangala 5th Block,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",4.8,524,2100,No,Yes,"Pub, Microbrewery",Pubs and bars
The Reservoire,Koramangala 5th Block,"Continental, North Indian, Chinese, American",4.5,2601,1300,No,Yes,"Bar, Casual Dining",Pubs and bars
Indigo XP,Koramangala 5th Block,"Finger Food, Continental, Asian, North Indian",4.2,2380,1400,No,No,Pub,Pubs and bars
Prost Brew Pub,Koramangala 4th Block,"American, Continental, North Indian, Salad",4.5,7871,1800,No,Yes,"Pub, Microbrewery",Pubs and bars
The Fixx,Koramangala 4th Block,"Continental, South Indian, Italian, North Indian, Chinese",4.3,226,1200,No,Yes,"Casual Dining, Bar",Pubs and bars
Asia Kitchen By Mainland China,Koramangala 5th Block,"Asian, Chinese, Thai, Momos",4.9,2256,1500,Yes,Yes,"Casual Dining, Bar",Pubs and bars
House Of Commons,Koramangala 5th Block,"Continental, Asian, North Indian",4.7,4470,1000,No,Yes,Bar,Pubs and bars
The Boozy Griffin,Koramangala 5th Block,"European, Continental",4.6,5024,1800,No,Yes,"Casual Dining, Pub",Pubs and bars
Myu Bar at Gilly's Redefined,Koramangala 4th Block,"American, North Indian, Pizza, Finger Food, Continental, Italian",4.5,1251,1200,No,Yes,"Microbrewery, Bar",Pubs and bars
The Old Fashioned Bar,Koramangala 6th Block,"Finger Food, North Indian, Continental",4.5,582,1000,No,Yes,Bar,Pubs and bars
Sotally Tober,Koramangala 4th Block,"Asian, Burger, Pizza, Chinese, Finger Food",4.4,4096,1200,No,Yes,"Bar, Casual Dining",Pubs and bars
1522 - The Pub,Koramangala 4th Block,"Chinese, Continental, North Indian",4.2,1746,1400,No,Yes,Pub,Pubs and bars
Crawl Street,Koramangala 5th Block,"Continental, Finger Food, North Indian, Chinese",4.2,2589,1200,Yes,Yes,Bar,Pubs and bars
The Beer Cafe,Koramangala 4th Block,"Finger Food, Chinese, Italian, Burger",4.2,1181,1300,Yes,Yes,Pub,Pubs and bars
Cheers Pub Bar & Restro,Koramangala 4th Block,"Continental, Finger Food, Pizza, North Indian, Bar Food",4.2,96,1100,No,Yes,"Pub, Bar",Pubs and bars
Beer Adda,Koramangala 5th Block,"North Indian, Chinese, Pizza",4.3,553,1000,Yes,Yes,"Casual Dining, Pub",Pubs and bars
Fava Bistro,Koramangala 5th Block,"Mediterranean, Pizza, Italian, Beverages",4.4,391,1500,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Nandhana Palace,Koramangala 4th Block,"Andhra, Biryani, North Indian, Chinese",4.1,822,800,No,Yes,"Casual Dining, Bar",Pubs and bars
What's In A Name,Koramangala 5th Block,"Finger Food, Asian, European, Italian",4.1,1798,1200,Yes,Yes,Pub,Pubs and bars
Sathya's,Koramangala 3rd Block,"North Indian, Chinese",4.1,760,1200,No,Yes,Bar,Pubs and bars
The Local - Terrace Drinkery,Koramangala 6th Block,"Continental, American, Pizza, BBQ",4.0,1408,1000,No,No,"Pub, Casual Dining",Pubs and bars
Bistro Oui,Koramangala 5th Block,"Cafe, Continental, Salad, Steak",4.1,403,1200,Yes,Yes,"Cafe, Bar",Pubs and bars
Bulls N Bears - Bar Trade Xchange,Koramangala 5th Block,"Finger Food, North Indian, Continental, Pizza",3.8,157,1000,No,Yes,"Pub, Bar",Pubs and bars
Drunkling - Sizzlers and Pub,Koramangala 5th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",4.4,348,1000,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,"Finger Food, North Indian, Chinese",3.9,599,1200,Yes,Yes,Bar,Pubs and bars
Cilantro,Koramangala 4th Block,"European, American, Continental, North Indian, Steak",4.0,281,1500,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Sherlock's Pub,Koramangala 5th Block,"Continental, North Indian, Chinese",3.9,600,1300,No,Yes,"Pub, Casual Dining",Pubs and bars
Gorilla Barfare,Koramangala 6th Block,"Continental, Pizza, Burger",4.2,272,1400,No,No,"Pub, Casual Dining",Pubs and bars
Fandom at Gilly's Redefined,Koramangala 4th Block,Finger Food,3.9,109,1500,No,No,Bar,Pubs and bars
Jimi's Beer Cafe,Koramangala 6th Block,"American, North Indian, Chinese",3.8,674,1800,No,No,Pub,Pubs and bars
Barcode,Koramangala 4th Block,"South Indian, North Indian",3.8,170,1300,No,Yes,Bar,Pubs and bars
The Local - Burger Bar,Koramangala 6th Block,"American, Pizza, Burger",3.8,152,1500,No,No,"Pub, Casual Dining",Pubs and bars
Banana Beach Bar,Koramangala 6th Block,"Continental, Chinese",3.7,1016,1300,Yes,Yes,Bar,Pubs and bars
Roots,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental, Mangalorean",4.6,1897,1200,Yes,Yes,"Casual Dining, Bar",Pubs and bars
"3B's - Buddies, Bar & Barbecues",BTM,"North Indian, Mediterranean, European, BBQ",4.4,1181,1100,No,Yes,"Casual Dining, Bar",Pubs and bars
B-hive,Koramangala 1st Block,"Finger Food, North Indian",4.3,1559,1200,No,Yes,Pub,Pubs and bars
Pecos Hideout,BTM,Finger Food,4.0,171,1100,No,Yes,Bar,Pubs and bars
Lounge 189,HSR,"Continental, Italian",3.8,158,1300,No,No,"Lounge, Bar",Pubs and bars
ThrowBack - Pub & Dine,Langford Town,"Italian, North Indian, Continental",3.9,234,1000,No,No,"Bar, Casual Dining",Pubs and bars
Head's Or Tail's,Wilson Garden,"Finger Food, North Indian, Chinese",4.0,137,1000,No,Yes,Bar,Pubs and bars
One Atria Cafe,Race Course Road,"South Indian, Continental, North Indian",3.8,110,1600,No,Yes,Casual Dining,Buffet
JW Kitchen - JW Marriott Bengaluru,Lavelle Road,"North Indian, Continental, Italian",4.4,2133,2200,No,Yes,Fine Dining,Buffet
Parika Multicuisine Restaurant,Richmond Road,"North Indian, Chinese, Mughlai",3.8,203,1200,Yes,Yes,Casual Dining,Buffet
Rasovara,Lavelle Road,"Rajasthani, North Indian",4.3,771,1400,Yes,Yes,Casual Dining,Buffet
The Spice Bazaar,Lavelle Road,"North Indian, Mughlai",4.2,337,1000,No,Yes,"Casual Dining, Bar",Buffet
BBQ'D - Global Grill & Brewery,Lavelle Road,"BBQ, North Indian",4.3,461,1500,No,No,"Casual Dining, Microbrewery",Buffet
Cafe Mangii,Lavelle Road,"Italian, Continental, Pizza",4.3,1053,1600,Yes,Yes,Casual Dining,Buffet
South Parade - The Chancery Hotel,Lavelle Road,"North Indian, Continental, Chinese",3.1,122,1200,No,No,"Casual Dining, Bar",Buffet
Olive Bar And Kitchen,Richmond Road,"Mediterranean, European, Salad",4.6,2211,1800,No,Yes,Casual Dining,Buffet
Chutney Chang,Church Street,"North Indian, Chinese, BBQ",4.2,4748,1500,Yes,Yes,Casual Dining,Buffet
Ebony,MG Road,"North Indian, South Indian",4.3,3150,1500,Yes,Yes,Casual Dining,Buffet
The Tao Terraces,MG Road,"Thai, Japanese, Korean, Burmese, Chinese",3.9,1937,2100,Yes,Yes,Casual Dining,Buffet
Rim Naam - The Oberoi,MG Road,Thai,4.6,986,3000,No,No,Fine Dining,Buffet
Oh! Calcutta,Church Street,"Bengali, Seafood",4.5,1122,1200,Yes,Yes,"Casual Dining, Bar",Buffet
Mainland China,Church Street,Chinese,4.5,1418,1700,Yes,Yes,"Casual Dining, Bar",Buffet
Empire Restaurant,Church Street,"North Indian, Mughlai, South Indian, Chinese",4.0,3232,750,Yes,No,Casual Dining,Buffet
Le Jardin - The Oberoi,MG Road,"European, Mediterranean, North Indian",4.3,696,3000,No,No,Fine Dining,Buffet
BBQ@52,MG Road,"BBQ, Biryani, Continental",3.8,51,1500,No,Yes,Casual Dining,Buffet
Konark Vegetarian Restaurant,Residency Road,"North Indian, Chinese, Continental, South Indian, Street Food, Juices",4.1,1014,500,No,No,Casual Dining,Buffet
Mynt - The Taj West End,Race Course Road,"Italian, North Indian, Lebanese",4.1,342,2500,No,Yes,Fine Dining,Buffet
Kitchen On Table,Brigade Road,"Japanese, Sushi, Asian",4.0,55,1500,Yes,No,Casual Dining,Buffet
The Market - The Ritz-Carlton,Residency Road,"North Indian, European, Thai",4.3,619,3400,No,Yes,Fine Dining,Buffet
WelcomCafe Jacaranda - WelcomHotel Bengaluru,Richmond Road,"Asian, Continental, North Indian",4.0,53,2000,No,No,Fine Dining,Buffet
Season - Adarsh Hamilton,Richmond Road,"North Indian, Chinese, South Indian, Continental",4.3,330,1200,No,Yes,Casual Dining,Buffet
Panchavati Gaurav Thali,Brigade Road,"Rajasthani, Gujarati",4.0,930,800,No,Yes,Casual Dining,Buffet
